id,MESSAGE_TYPE,transcript,creationDate,DIALOGUE_ID,PERSONA_ID,USER_ID,TASK_ID,application,creationDate_conversation,targetLang,tutorLang,hasTasks,CREATOR_ID,SCENARIO_ID,preCreated,simulated,archivedForProcessing,username
62803,H,Lisette a les cheveux noirs,07-11-18 08:48,1684,NULL,1314,71,3,2018-11-07 08:35:03.958,1,0,1,1314,16,0,0,0,user064
42251,H,Quelle est votre relation avec Sensei ? ,16-10-18 09:36,1070,NULL,1286,NULL,3,2018-10-16 09:17:41.811,1,0,1,1286,10,0,0,0,user036
72664,H,Il est triste parce que vous avez mangé ses légumes.,12-11-18 07:38,1915,NULL,1309,122,3,2018-11-12 07:30:18.606,1,0,1,1309,18,0,0,0,user059
63315,H,Enchenté,07-11-18 08:59,1693,NULL,1316,57,3,2018-11-07 08:58:50.363,1,0,1,1316,16,0,0,0,user066
65813,H,,,1735,NULL,1426,NULL,3,2018-11-07 09:32:00.082,1,0,1,1426,10,1,0,0,user176
16423,H,,,503,NULL,1357,NULL,3,2018-09-21 12:38:52.057,1,0,1,1357,16,1,0,0,user107
58989,H,tu as écris de quelle livre ?,06-11-18 08:07,1568,NULL,1324,NULL,3,2018-11-06 07:38:11.337,1,0,1,1324,3,0,0,0,user074
38306,H,,,1038,NULL,1374,NULL,3,2018-10-16 07:52:52.847,1,0,1,1374,10,1,0,0,user124
59814,H,ahhh enchanté,,1616,NULL,1436,NULL,3,2018-11-06 14:00:35.602,1,0,1,1436,3,1,0,0,user186
56146,H,Claudette est rousse,05-11-18 13:11,1508,NULL,1309,74,3,2018-11-05 13:00:13.602,1,0,1,1309,16,0,0,0,user059
65816,H,,,1736,NULL,1442,NULL,3,2018-11-07 09:33:19.803,1,0,1,1442,10,1,0,0,user192
26263,H,aaaa,,715,NULL,1359,NULL,3,2018-09-27 12:25:18.514,1,0,1,1359,19,1,0,0,user109
49724,H,Je vais tombé pendent l'orage.,,1283,NULL,1370,NULL,3,2018-10-23 07:35:58.695,1,0,1,1370,18,1,0,0,user120
72637,H,comment est-ce que notre famille sentent?,12-11-18 07:37,1928,NULL,1299,NULL,3,2018-11-12 07:31:35.141,1,0,1,1299,17,0,0,0,user049
43430,H,vicent est sensible,16-10-18 09:49,1130,NULL,1290,NULL,3,2018-10-16 09:37:20.895,1,0,1,1290,17,0,0,0,user040
67275,H,,,1781,NULL,1442,NULL,3,2018-11-08 12:01:02.979,1,0,1,1442,17,1,0,0,user192
24277,H,Délphine est trés intiligent.,,682,NULL,1354,NULL,3,2018-09-27 12:09:35.063,1,0,1,1354,17,1,0,0,user104
76034,H,Georges est calme,,1987,NULL,1415,NULL,3,2018-11-12 09:33:17.878,1,0,1,1415,17,1,0,0,user165
22190,H,Il est triste parce que vous avez mangé ses légumes.,26-09-18 09:23,649,NULL,1262,NULL,3,2018-09-26 09:20:02.353,1,0,1,1262,18,0,0,0,user012
12597,H,un route avec ma famille,21-09-18 07:41,413,NULL,1265,NULL,3,2018-09-21 07:25:26.616,1,0,1,1265,3,0,0,0,user015
33819,H,Où sont mes parents,15-10-18 12:15,904,NULL,1311,NULL,3,2018-10-15 12:02:09.724,1,0,1,1311,3,0,0,0,user061
17876,H,je vole a le sud avec mes parents.,24-09-18 08:45,559,NULL,1258,NULL,3,2018-09-24 08:25:56.270,1,0,1,1258,10,0,0,0,user008
64783,H,,,1718,NULL,1427,NULL,3,2018-11-07 09:25:56.133,1,0,1,1427,10,1,0,0,user177
73959,H,Yvette porte des boucles d'oreille,12-11-18 08:04,1917,NULL,1291,76,3,2018-11-12 07:30:35.035,1,0,1,1291,16,0,0,0,user041
76442,H,chaque escargot a un différent travail dans le potager,,1994,NULL,1414,NULL,3,2018-11-12 09:46:45.081,1,0,1,1414,19,1,0,0,user164
13142,H,Vous avez un problème avec des limaces?,21-09-18 07:54,417,NULL,1262,NULL,3,2018-09-21 07:29:36.430,1,0,1,1262,10,0,0,0,user012
38800,H,,,1052,NULL,1371,NULL,3,2018-10-16 09:14:46.836,1,0,1,1371,3,1,0,0,user121
33572,H,Qui etes-vous?,15-10-18 12:09,907,NULL,1310,NULL,3,2018-10-15 12:02:19.446,1,0,1,1310,3,0,0,0,user060
14190,H,,,456,NULL,1365,NULL,3,2018-09-21 09:50:06.390,1,0,1,1365,3,1,0,0,user115
70410,H,Rinc.,08-11-18 13:06,1849,NULL,1326,55,3,2018-11-08 13:05:00.319,1,0,1,1326,16,0,0,0,user076
67546,H,Et vous portez un chapeau marron .,,1786,NULL,1445,NULL,3,2018-11-08 12:01:29.413,1,0,1,1445,16,1,0,0,user195
49852,H,,,1285,NULL,1373,NULL,3,2018-10-23 07:37:08.466,1,0,1,1373,18,1,0,0,user123
75513,H,Lisette est son fille.,,1979,NULL,1417,NULL,3,2018-11-12 09:24:18.166,1,0,1,1417,16,1,0,0,user167
